name,status,trial_seed,exception,traceback,bucket,"metric:accuracy [0.0, 1.0] (maximize)",config:RandomForestClassifier:n_estimators,config:RandomForestClassifier:max_samples,memory:start_vms,memory:end_vms,memory:diff_vms,memory:start_rss,memory:end_rss,memory:diff_rss,memory:unit,time:start,time:end,time:duration,time:kind,time:unit,deepcave:time:start,deepcave:time:end
trial_number=48,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,100,0.5722981112446568,1838174208,1838174208,0,129110016,129110016,0,bytes,1.1980860233306885,1.2543883323669434,0.05630230903625488,wall,seconds,1.1980860233306885,1.2543883323669434
trial_number=49,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,97,0.6121402389134035,1838178304,1838178304,0,129110016,129110016,0,bytes,1.2312381267547607,1.287343978881836,0.056105852127075195,wall,seconds,1.2312381267547607,1.287343978881836
trial_number=50,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,97,0.611555979322021,1838174208,1838174208,0,129110016,129110016,0,bytes,1.2665126323699951,1.3203823566436768,0.05386972427368164,wall,seconds,1.2665126323699951,1.3203823566436768
trial_number=51,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,61,0.4167348353528312,1838178304,1838178304,0,129110016,129110016,0,bytes,1.2970054149627686,1.3324732780456543,0.03546786308288574,wall,seconds,1.2970054149627686,1.3324732780456543
trial_number=52,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,86,0.4733806844437825,1838174208,1838174208,0,129110016,129110016,0,bytes,1.3303442001342773,1.388253927230835,0.05790972709655762,wall,seconds,1.3303442001342773,1.388253927230835
trial_number=53,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,87,0.4675737342326597,1838178304,1838178304,0,129110016,129110016,0,bytes,1.3440742492675781,1.3908872604370117,0.046813011169433594,wall,seconds,1.3440742492675781,1.3908872604370117
trial_number=55,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,74,0.49803075292982246,1838178304,1838178304,0,129110016,129110016,0,bytes,1.4031105041503906,1.4424126148223877,0.03930211067199707,wall,seconds,1.4031105041503906,1.4424126148223877
trial_number=54,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,90,0.4727273516982148,1838174208,1838174208,0,129110016,129110016,0,bytes,1.3984370231628418,1.4466314315795898,0.04819440841674805,wall,seconds,1.3984370231628418,1.4466314315795898
trial_number=57,success,170679558,NA,NA,optuna-doc-example,0.8947368421052632,76,0.4007035531981421,1838174208,1838174208,0,129110016,129110016,0,bytes,1.4574580192565918,1.4986083507537842,0.04115033149719238,wall,seconds,1.4574580192565918,1.4986083507537842
trial_number=56,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,91,0.37914233091097194,1838178304,1838178304,0,129110016,129110016,0,bytes,1.4516117572784424,1.5001132488250732,0.04850149154663086,wall,seconds,1.4516117572784424,1.5001132488250732
trial_number=59,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,43,0.5193546090781916,1838178304,1838178304,0,129110016,129110016,0,bytes,1.514312505722046,1.5374248027801514,0.02311229705810547,wall,seconds,1.514312505722046,1.5374248027801514
trial_number=58,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,84,0.5159687806547352,1838174208,1838174208,0,129110016,129110016,0,bytes,1.508725643157959,1.5533242225646973,0.04459857940673828,wall,seconds,1.508725643157959,1.5533242225646973
trial_number=60,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,85,0.34322680249282755,1838178304,1838178304,0,129110016,129110016,0,bytes,1.5454964637756348,1.5889248847961426,0.04342842102050781,wall,seconds,1.5454964637756348,1.5889248847961426
trial_number=61,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,70,0.5639286405378108,1838174208,1838174208,0,129110016,129110016,0,bytes,1.5615229606628418,1.5995824337005615,0.03805947303771973,wall,seconds,1.5615229606628418,1.5995824337005615
trial_number=62,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,81,0.6897964269792661,1838178304,1838178304,0,129110016,129110016,0,bytes,1.5982065200805664,1.6426053047180176,0.04439878463745117,wall,seconds,1.5982065200805664,1.6426053047180176
trial_number=63,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,80,0.697162078078088,1838174208,1838174208,0,129110016,129110016,0,bytes,1.6079742908477783,1.655038833618164,0.04706454277038574,wall,seconds,1.6079742908477783,1.655038833618164
